dstport,protocol,tag
27172,17,sv_P5
6856,6,SV_P3
3847,6,sv_P2
22057,6,sv_P4
18665,6,sv_P4
13214,6,sv_P1
10393,17,email
23799,17,email
8160,6,sv_P2
4308,17,sv_P5
53461,17,sv_P2
51049,6,email
55079,6,sv_P5
21943,17,sv_P5
24409,17,sv_P5
37553,17,sv_P5
44943,17,email
21394,6,SV_P3
20973,17,email
46990,17,sv_P5
13956,17,sv_P4
27758,17,sv_P1
56577,17,sv_P1
9495,6,SV_P3
1220,6,SV_P3
1180,17,sv_P1
48180,17,SV_P3
19818,6,sv_P4
57183,6,sv_P4
12706,17,SV_P3
63472,6,sv_P2
17298,6,sv_P4
52530,6,email
49250,6,SV_P3
64205,6,sv_P1
53438,17,sv_P2
39750,17,sv_P5
46918,6,email
57448,6,sv_P2
7802,6,SV_P3
54818,6,SV_P3
60548,6,SV_P3
6501,17,sv_P1
64242,17,sv_P2
366,17,sv_P1
50044,17,SV_P3
38824,6,sv_P1
57392,6,email
45966,17,sv_P5
13327,17,SV_P3
49398,17,sv_P2
32641,6,sv_P1
33553,17,sv_P1
18917,6,sv_P5
4666,17,sv_P5
31545,6,sv_P5
28236,17,SV_P3
61313,17,sv_P2
48902,6,email
9324,6,sv_P1
63619,6,sv_P5
43919,6,sv_P1
35784,6,SV_P3
51579,17,SV_P3
21528,17,sv_P2
9246,6,sv_P4
35987,17,sv_P1
15207,6,email
41677,17,sv_P4
54816,6,sv_P5
52336,6,sv_P4
21895,6,email
9961,6,SV_P3
20776,6,sv_P1
26815,17,sv_P1
44311,6,sv_P2
24339,6,SV_P3
39481,17,sv_P2
15112,6,email
12892,6,sv_P1
58158,6,email
24780,17,sv_P4
14702,17,sv_P1
45456,6,sv_P5
34528,17,email
56826,6,email
25449,17,SV_P3
562,17,sv_P1
37681,6,email
41407,17,sv_P1
453,17,email
61174,6,sv_P5
38526,6,sv_P1
22113,17,sv_P1
21882,6,sv_P4
52921,17,sv_P4
20177,6,sv_P1
2445,17,sv_P1
4897,17,sv_P5
16525,17,sv_P4
50304,6,sv_P5
59824,6,sv_P2
46553,17,email
57760,6,SV_P3
49934,17,sv_P5
19714,17,sv_P2
33651,17,sv_P2
14612,17,sv_P2
24433,6,sv_P5
51383,6,email
12747,6,sv_P2
26484,6,sv_P5
64500,6,sv_P5
50307,6,email
16618,6,sv_P5
23755,6,sv_P1
23515,17,SV_P3
35315,6,sv_P1
59880,17,sv_P1
3603,6,SV_P3
10557,17,sv_P1
22727,17,sv_P2
51269,17,sv_P1
46178,17,sv_P5
726,6,sv_P4
8039,6,sv_P1
48779,6,sv_P4
11632,6,sv_P5
57601,17,email
54313,6,sv_P5
42684,17,sv_P5
14487,17,SV_P3
44795,6,sv_P4
9190,17,sv_P1
14326,17,SV_P3
62937,17,SV_P3
55732,17,SV_P3
6315,17,sv_P4
57108,17,email
10968,17,SV_P3
19747,6,SV_P3
26765,17,sv_P4
40231,17,sv_P5
9586,17,SV_P3
64951,6,email
64110,17,sv_P2
53134,17,sv_P1
20183,6,sv_P4
29488,6,sv_P5
9916,17,sv_P1
53666,6,SV_P3
679,17,sv_P2
10230,6,sv_P2
32489,17,sv_P1
43169,17,SV_P3
61951,17,SV_P3
17567,6,sv_P1
26828,6,sv_P1
39264,6,sv_P5
39605,6,sv_P5
55510,6,sv_P1
36455,17,sv_P1
36830,6,sv_P4
4006,17,sv_P4
20154,17,SV_P3
33571,17,SV_P3
28621,17,email
62440,6,sv_P4
3465,17,sv_P5
36719,6,sv_P5
